,date,state_id,dept_id,value
0,2011-01-29,CA,FOODS_1,1157
1,2011-01-30,CA,FOODS_1,1142
2,2011-01-31,CA,FOODS_1,787
3,2011-02-01,CA,FOODS_1,743
4,2011-02-02,CA,FOODS_1,729
5,2011-02-03,CA,FOODS_1,796
6,2011-02-04,CA,FOODS_1,913
7,2011-02-05,CA,FOODS_1,1036
8,2011-02-06,CA,FOODS_1,1049
9,2011-02-07,CA,FOODS_1,804
10,2011-02-08,CA,FOODS_1,988
11,2011-02-09,CA,FOODS_1,774
12,2011-02-10,CA,FOODS_1,1022
13,2011-02-11,CA,FOODS_1,1140
14,2011-02-12,CA,FOODS_1,1509
15,2011-02-13,CA,FOODS_1,1744
16,2011-02-14,CA,FOODS_1,1091
17,2011-02-15,CA,FOODS_1,761
18,2011-02-16,CA,FOODS_1,787
19,2011-02-17,CA,FOODS_1,713
20,2011-02-18,CA,FOODS_1,985
21,2011-02-19,CA,FOODS_1,1290
22,2011-02-20,CA,FOODS_1,1244
23,2011-02-21,CA,FOODS_1,1000
24,2011-02-22,CA,FOODS_1,698
25,2011-02-23,CA,FOODS_1,741
26,2011-02-24,CA,FOODS_1,791
27,2011-02-25,CA,FOODS_1,905
28,2011-02-26,CA,FOODS_1,1372
29,2011-02-27,CA,FOODS_1,1083
30,2011-02-28,CA,FOODS_1,746
31,2011-03-01,CA,FOODS_1,864
32,2011-03-02,CA,FOODS_1,822
33,2011-03-03,CA,FOODS_1,842
34,2011-03-04,CA,FOODS_1,860
35,2011-03-05,CA,FOODS_1,1168
36,2011-03-06,CA,FOODS_1,1247
37,2011-03-07,CA,FOODS_1,755
38,2011-03-08,CA,FOODS_1,771
39,2011-03-09,CA,FOODS_1,752
40,2011-03-10,CA,FOODS_1,772
41,2011-03-11,CA,FOODS_1,962
42,2011-03-12,CA,FOODS_1,1158
43,2011-03-13,CA,FOODS_1,1048
44,2011-03-14,CA,FOODS_1,822
45,2011-03-15,CA,FOODS_1,729
46,2011-03-16,CA,FOODS_1,808
47,2011-03-17,CA,FOODS_1,779
48,2011-03-18,CA,FOODS_1,821
49,2011-03-19,CA,FOODS_1,1171
50,2011-03-20,CA,FOODS_1,971
51,2011-03-21,CA,FOODS_1,821
52,2011-03-22,CA,FOODS_1,845
53,2011-03-23,CA,FOODS_1,710
54,2011-03-24,CA,FOODS_1,712
55,2011-03-25,CA,FOODS_1,1015
56,2011-03-26,CA,FOODS_1,1074
57,2011-03-27,CA,FOODS_1,1043
58,2011-03-28,CA,FOODS_1,760
59,2011-03-29,CA,FOODS_1,698
60,2011-03-30,CA,FOODS_1,631
61,2011-03-31,CA,FOODS_1,665
62,2011-04-01,CA,FOODS_1,829
63,2011-04-02,CA,FOODS_1,1002
64,2011-04-03,CA,FOODS_1,1066
65,2011-04-04,CA,FOODS_1,824
66,2011-04-05,CA,FOODS_1,689
67,2011-04-06,CA,FOODS_1,746
68,2011-04-07,CA,FOODS_1,854
69,2011-04-08,CA,FOODS_1,795
70,2011-04-09,CA,FOODS_1,981
71,2011-04-10,CA,FOODS_1,1010
72,2011-04-11,CA,FOODS_1,718
73,2011-04-12,CA,FOODS_1,541
74,2011-04-13,CA,FOODS_1,618
75,2011-04-14,CA,FOODS_1,735
76,2011-04-15,CA,FOODS_1,899
77,2011-04-16,CA,FOODS_1,1029
78,2011-04-17,CA,FOODS_1,978
79,2011-04-18,CA,FOODS_1,673
80,2011-04-19,CA,FOODS_1,812
81,2011-04-20,CA,FOODS_1,698
82,2011-04-21,CA,FOODS_1,842
83,2011-04-22,CA,FOODS_1,1200
84,2011-04-23,CA,FOODS_1,1672
85,2011-04-24,CA,FOODS_1,1246
86,2011-04-25,CA,FOODS_1,589
87,2011-04-26,CA,FOODS_1,615
88,2011-04-27,CA,FOODS_1,567
89,2011-04-28,CA,FOODS_1,691
90,2011-04-29,CA,FOODS_1,737
91,2011-04-30,CA,FOODS_1,895
92,2011-05-01,CA,FOODS_1,962
93,2011-05-02,CA,FOODS_1,725
94,2011-05-03,CA,FOODS_1,760
95,2011-05-04,CA,FOODS_1,682
96,2011-05-05,CA,FOODS_1,733
97,2011-05-06,CA,FOODS_1,784
98,2011-05-07,CA,FOODS_1,1090
99,2011-05-08,CA,FOODS_1,937
100,2011-05-09,CA,FOODS_1,777
101,2011-05-10,CA,FOODS_1,703
102,2011-05-11,CA,FOODS_1,696
103,2011-05-12,CA,FOODS_1,815
104,2011-05-13,CA,FOODS_1,837
105,2011-05-14,CA,FOODS_1,1098
106,2011-05-15,CA,FOODS_1,985
107,2011-05-16,CA,FOODS_1,767
108,2011-05-17,CA,FOODS_1,669
109,2011-05-18,CA,FOODS_1,696
110,2011-05-19,CA,FOODS_1,678
111,2011-05-20,CA,FOODS_1,729
112,2011-05-21,CA,FOODS_1,878
113,2011-05-22,CA,FOODS_1,846
114,2011-05-23,CA,FOODS_1,689
115,2011-05-24,CA,FOODS_1,583
116,2011-05-25,CA,FOODS_1,659
117,2011-05-26,CA,FOODS_1,742
118,2011-05-27,CA,FOODS_1,777
119,2011-05-28,CA,FOODS_1,1045
120,2011-05-29,CA,FOODS_1,841
121,2011-05-30,CA,FOODS_1,802
122,2011-05-31,CA,FOODS_1,689
123,2011-06-01,CA,FOODS_1,704
124,2011-06-02,CA,FOODS_1,665
125,2011-06-03,CA,FOODS_1,901
126,2011-06-04,CA,FOODS_1,937
127,2011-06-05,CA,FOODS_1,919
128,2011-06-06,CA,FOODS_1,769
129,2011-06-07,CA,FOODS_1,728
130,2011-06-08,CA,FOODS_1,778
131,2011-06-09,CA,FOODS_1,795
132,2011-06-10,CA,FOODS_1,804
133,2011-06-11,CA,FOODS_1,890
134,2011-06-12,CA,FOODS_1,1013
135,2011-06-13,CA,FOODS_1,737
