,"('CA', 'FOODS_1')","('CA', 'FOODS_2')","('CA', 'FOODS_3')","('CA', 'HOBBIES_1')","('CA', 'HOBBIES_2')","('CA', 'HOUSEHOLD_1')","('CA', 'HOUSEHOLD_2')","('TX', 'FOODS_1')","('TX', 'FOODS_2')","('TX', 'FOODS_3')","('TX', 'HOBBIES_1')","('TX', 'HOBBIES_2')","('TX', 'HOUSEHOLD_1')","('TX', 'HOUSEHOLD_2')","('WI', 'FOODS_1')","('WI', 'FOODS_2')","('WI', 'FOODS_3')","('WI', 'HOBBIES_1')","('WI', 'HOBBIES_2')","('WI', 'HOUSEHOLD_1')","('WI', 'HOUSEHOLD_2')"
0,1400,2150,7818,1644,160,3124,996,890,1122,5494,887,157,2206,616,956,1836,5574,744,72,2004,535
1,1546,1753,7128,1734,146,2918,959,845,1094,5411,1010,178,1939,552,879,1608,4908,799,112,1754,483
2,1503,1649,7097,1751,185,2817,924,833,916,4733,905,167,1900,493,938,1543,4643,818,87,1995,458
3,1575,1695,7943,1616,163,2823,973,851,925,4562,811,115,2010,495,928,1542,4962,739,97,1948,463
4,1760,1650,8703,1863,154,2974,1081,883,928,4397,779,115,1844,424,1116,1595,5686,939,123,2444,566
5,1788,1900,10042,1832,155,3663,1314,897,1256,7035,1402,131,3067,752,994,1817,6423,1242,118,2621,547
6,1594,2116,9829,1945,155,3846,1245,732,1107,6501,1047,109,2540,637,902,1537,6171,784,93,2308,506
7,1627,1712,9149,1794,181,3865,1196,796,1108,5642,1137,99,2401,710,812,1392,5778,709,54,1795,386
8,1345,2022,7647,1574,134,3082,1063,739,1014,4570,947,118,2078,571,944,1535,4261,854,74,2081,516
9,1430,2163,8109,1692,203,3082,980,852,1505,5352,1035,86,2390,620,1032,1815,5008,1254,91,3090,526
10,1480,1801,7250,1642,191,3054,1030,803,1061,3933,760,124,2069,514,1096,2691,5959,891,91,2576,567
11,1460,2020,9253,1842,203,3191,1122,1139,1451,5340,1216,131,2644,760,1182,2754,6882,1197,125,3206,664
12,1846,2513,11007,2049,186,4284,1431,947,1314,5325,1121,131,3044,727,1354,2636,6843,1253,141,3489,686
13,1697,3072,11101,2019,164,4581,1485,861,1746,6039,1111,120,2606,711,1193,3380,7556,1060,117,2808,610
14,1440,2152,8171,1696,134,3328,985,786,1862,5619,909,92,2418,533,1154,3018,6816,809,144,2141,526
15,1595,2263,8083,1481,177,2957,951,781,1528,5255,808,102,2097,588,1098,2321,5308,759,107,1928,451
16,1605,2010,7466,1526,129,3071,963,823,1226,5167,804,88,2010,536,1115,2704,5443,784,129,1907,436
17,1513,1990,7780,1592,203,2893,1050,894,1425,5579,830,87,2026,556,1097,2863,6609,780,100,2188,430
18,1793,2087,8829,1973,203,3251,1051,820,1293,5459,1004,154,2327,585,1037,2162,6473,1103,88,2246,486
19,1788,2355,10370,2120,164,4258,1444,917,1396,6832,1306,123,2790,689,1179,2796,8413,1148,91,2662,658
20,1634,2824,10712,2231,171,4519,1434,861,1743,6572,1156,126,2439,660,1318,3570,8061,1057,87,2634,576
21,1425,2229,7971,1699,134,3373,1056,802,1739,6476,973,119,2135,523,1005,2306,5393,801,86,1930,379
22,1398,1879,7118,1703,133,3021,1052,866,1459,5372,888,122,2057,509,1227,2810,6403,789,63,1851,450
23,1572,1636,7114,1750,184,2989,1013,775,1516,6253,1047,107,2152,558,1037,2765,6470,898,104,1967,442
24,1385,1680,6917,1701,171,2737,948,843,1221,5609,927,105,2131,583,1175,2335,5491,914,95,2296,437
25,1825,1922,8022,1798,182,3057,1054,893,1090,6280,1013,155,2301,652,1288,1884,6155,1047,136,2508,575
26,1959,2420,9905,2236,214,3855,1445,836,1159,6785,1063,133,2556,711,1246,2181,7237,1073,127,2687,520
27,1671,2280,9659,1867,126,3578,1267,745,1325,7121,954,135,2377,639,973,1950,6821,862,105,2155,455
